Row ID,Sales,Quantity,Discount,Profit,Product ID,Order ID
32298,2309.65,7,0,762.1845,TEC-AC-10003033,CA-2012-124891
26341,3709.395,9,0.1,-288.765,FUR-CH-10003950,IN-2013-77878
25330,5175.171,9,0.1,919.971,TEC-PH-10004664,IN-2013-71249
13524,2892.51,5,0.1,-96.54,TEC-PH-10004583,ES-2013-1579342
47221,2832.96,8,0,311.52,TEC-SHA-10000501,SG-2013-4320
22732,2862.675,5,0.1,763.275,TEC-PH-10000030,IN-2013-42360
30570,1822.08,4,0,564.84,FUR-CH-10004050,IN-2011-81826
31192,5244.84,6,0,996.48,FUR-TA-10002958,IN-2012-86369
40155,5083.96,5,0.2,1906.485,OFF-BI-10003527,CA-2014-135909
40936,4297.644,13,0.4,-1862.3124,FUR-TA-10000198,CA-2012-116638
34577,4164.05,5,0,83.281,OFF-SU-10002881,CA-2011-102988
28879,4626.15,5,0,647.55,FUR-TA-10001889,ID-2012-28402
45794,2616.96,4,0,1151.4,TEC-CIS-10001717,SA-2011-1830
4132,2221.8,7,0,622.02,FUR-CH-10002033,MX-2012-130015
27704,3701.52,12,0,1036.08,OFF-AP-10003500,IN-2013-73951
13779,1869.588,4,0.1,186.948,OFF-AP-10000423,ES-2014-5099955
36178,2249.91,9,0,517.4793,TEC-AC-10004145,CA-2014-143567
12069,7958.58,14,0,3979.08,OFF-AP-10004512,ES-2014-1651774
22096,2565.594,9,0.1,28.404,TEC-CO-10000865,IN-2014-11763
49463,3409.74,6,0,818.28,OFF-KIT-10004058,TZ-2014-8190
46630,1977.72,4,0,276.84,FUR-HON-10000224,PL-2012-7820
31784,2735.952,6,0.2,341.994,TEC-PH-10001363,CA-2011-154627
21586,2754,6,0,358.02,FUR-CH-10000027,IN-2011-44803
13528,5273.7,10,0,1898.4,OFF-AP-10003590,ES-2013-2860574
1570,1713.84,4,0,445.52,TEC-PH-10004182,US-2014-133193
3484,2106.496,8,0.2,526.496,FUR-TA-10002827,MX-2014-165309
30191,1715.16,2,0,720.36,FUR-TA-10004744,IN-2011-10286
11645,3069.738,6,0.1,1364.238,OFF-AP-10004512,ES-2011-4699764
37311,4158.912,8,0.2,363.9048,TEC-PH-10002885,CA-2013-159016
22999,1878.72,4,0,582.36,FUR-CH-10001415,IN-2012-44810
220,1696.64,5,0.2,-148.46,TEC-PH-10002815,US-2011-128776
10648,2402.865,9,0.15,763.155,TEC-MA-10000161,ES-2012-5870268
32735,2453.43,5,0.3,-350.49,FUR-CH-10002024,CA-2012-139731
21286,2526.93,5,0.1,561.48,OFF-AP-10004246,IN-2011-28087
32543,3610.848,12,0.2,135.4068,FUR-TA-10003473,CA-2011-168494
47905,3817.26,6,0,1068.66,TEC-APP-10000308,CG-2011-8610
36423,2799.96,4,0,1371.9804,TEC-MA-10003979,CA-2011-160766
31980,7999.98,4,0.5,-3839.9904,TEC-MA-10004125,US-2014-168116
15380,4141.02,13,0,1697.67,TEC-CO-10000013,ES-2014-2637201
28046,2875.095,5,0.1,511.095,TEC-PH-10004664,IN-2011-61302
21316,3200.5962,6,0.17,-77.2038,TEC-PH-10000499,ID-2013-63976
29272,4518.78,7,0,632.52,TEC-PH-10003856,IN-2014-37320
25795,5667.87,13,0,2097.03,FUR-BO-10004852,IN-2014-76016
16681,5785.02,9,0,404.73,TEC-PH-10004583,ES-2012-5877219
15953,3018.624,7,0.2,377.244,OFF-AP-10000486,IT-2011-3183678
35395,9449.95,5,0,4630.4755,OFF-BI-10001120,CA-2011-116904
13847,2092.5,5,0.1,720.75,FUR-CH-10003365,IT-2013-3085011
24341,2761.2,6,0,110.34,FUR-CH-10000602,IN-2014-50473
28701,2174.13,7,0,500.01,TEC-MA-10002680,IN-2014-35983
6550,3473.14,11,0,868.12,FUR-CH-10000891,MX-2014-126984
40046,3050.376,3,0.2,1143.891,OFF-BI-10003527,US-2012-163825
48360,2108.64,8,0,527.04,TEC-CAN-10003392,IR-2014-8540
38198,2399.96,5,0.2,839.986,TEC-CO-10001449,US-2014-135013
30190,2197.5,5,0,153.75,FUR-BO-10001372,IN-2011-10286
42336,2582.16,4,0,593.88,TEC-MOT-10002272,MZ-2013-3690
29047,1526.52,4,0,732.72,TEC-CO-10004997,IN-2012-66342
32941,3149.93,7,0,1480.4671,TEC-CO-10001766,CA-2012-111829
29601,1745.34,2,0,226.86,FUR-TA-10000226,IN-2012-48240
23499,4191.507,9,0.1,1164.267,OFF-AP-10002244,IN-2014-61792
35594,4367.896,13,0.2,327.5922,TEC-PH-10001459,CA-2014-129021
26634,3063.27,7,0,581.91,FUR-BO-10001073,IN-2014-75470
39501,4643.8,4,0,2229.024,TEC-MA-10000045,CA-2012-114811
10522,4473,7,0,313.11,TEC-PH-10002035,ES-2014-4673578
10549,1502.01,9,0,225.18,TEC-PH-10002565,IT-2013-3376681
25314,5049,11,0,656.37,FUR-CH-10000027,IN-2014-66615
39977,2104.55,7,0,694.5015,OFF-AP-10002945,CA-2013-143805
