Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Shipping Cost,Order Priority
CA-2012-124891,31/07/2012,31/07/2012,Same Day,RH-19495,933.57,Critical
IN-2013-77878,05/02/2013,07/02/2013,Second Class,JR-16210,923.63,Critical
IN-2013-71249,17/10/2013,18/10/2013,First Class,CR-12730,915.49,Medium
ES-2013-1579342,28/01/2013,30/01/2013,First Class,KM-16375,910.16,Medium
SG-2013-4320,05/11/2013,06/11/2013,Same Day,RH-9495,903.04,Critical
IN-2013-42360,28/06/2013,01/07/2013,Second Class,JM-15655,897.35,Critical
IN-2011-81826,07/11/2011,09/11/2011,First Class,TS-21340,894.77,Critical
IN-2012-86369,14/04/2012,18/04/2012,Standard Class,MB-18085,878.38,High
CA-2014-135909,14/10/2014,21/10/2014,Standard Class,JW-15220,867.69,Low
CA-2012-116638,28/01/2012,31/01/2012,Second Class,JH-15985,865.74,Critical
CA-2011-102988,05/04/2011,09/04/2011,Second Class,GM-14695,846.54,High
ID-2012-28402,19/04/2012,22/04/2012,First Class,AJ-10780,835.57,High
SA-2011-1830,27/12/2011,29/12/2011,Second Class,MM-7260,832.41,Critical
MX-2012-130015,13/11/2012,13/11/2012,Same Day,VF-21715,810.25,Critical
IN-2013-73951,06/06/2013,08/06/2013,Second Class,PF-19120,804.54,Critical
ES-2014-5099955,31/07/2014,03/08/2014,Second Class,BP-11185,801.66,Critical
CA-2014-143567,03/11/2014,06/11/2014,Second Class,TB-21175,780.7,Critical
ES-2014-1651774,08/09/2014,14/09/2014,Standard Class,PJ-18835,778.32,Low
IN-2014-11763,31/01/2014,01/02/2014,First Class,JS-15685,766.93,Critical
TZ-2014-8190,05/12/2014,07/12/2014,Second Class,RH-9555,763.38,High
PL-2012-7820,08/08/2012,10/08/2012,First Class,AB-600,759.47,Critical
CA-2011-154627,29/10/2011,31/10/2011,First Class,SA-20830,752.51,High
IN-2011-44803,02/05/2011,03/05/2011,First Class,JK-15325,752.47,Critical
ES-2013-2860574,27/02/2013,01/03/2013,Second Class,LB-16795,730.91,High
US-2014-133193,31/07/2014,01/08/2014,First Class,NP-18325,728.97,Critical
MX-2014-165309,05/09/2014,08/09/2014,First Class,VD-21670,728.39,Critical
IN-2011-10286,17/12/2011,20/12/2011,First Class,PB-19210,725.57,Critical
